CHAPTER,DIAGNOSIS_CODE,TITLE,SHORT_DESC,LONG_DESC
I,00581,Infectious And Parasitic Diseases,Food poisn d/t v. vulnif,Food poisoning due to Vibrio vulnificus
I,00589,Infectious And Parasitic Diseases,Bact food poisoning NEC,Other bacterial food poisoning
I,0059,Infectious And Parasitic Diseases,Food poisoning NOS,"Food poisoning, unspecified"
I,0060,Infectious And Parasitic Diseases,Ac amebiasis w/o abscess,Acute amebic dysentery without mention of abscess
I,0061,Infectious And Parasitic Diseases,Chr amebiasis w/o absces,Chronic intestinal amebiasis without mention of abscess
I,0062,Infectious And Parasitic Diseases,Amebic nondysent colitis,Amebic nondysenteric colitis
I,0063,Infectious And Parasitic Diseases,Amebic liver abscess,Amebic liver abscess
I,0064,Infectious And Parasitic Diseases,Amebic lung abscess,Amebic lung abscess
I,0065,Infectious And Parasitic Diseases,Amebic brain abscess,Amebic brain abscess
I,0066,Infectious And Parasitic Diseases,Amebic skin ulceration,Amebic skin ulceration
I,0068,Infectious And Parasitic Diseases,Amebic infection NEC,Amebic infection of other sites
I,0069,Infectious And Parasitic Diseases,Amebiasis NOS,"Amebiasis, unspecified"
I,0070,Infectious And Parasitic Diseases,Balantidiasis,Balantidiasis
I,0071,Infectious And Parasitic Diseases,Giardiasis,Giardiasis
I,0072,Infectious And Parasitic Diseases,Coccidiosis,Coccidiosis
I,0073,Infectious And Parasitic Diseases,Intest trichomoniasis,Intestinal trichomoniasis
I,0074,Infectious And Parasitic Diseases,Cryptosporidiosis,Cryptosporidiosis
I,0075,Infectious And Parasitic Diseases,Cyclosporiasis,Cyclosporiasis
I,0078,Infectious And Parasitic Diseases,Protozoal intest dis NEC,Other specified protozoal intestinal diseases
I,0079,Infectious And Parasitic Diseases,Protozoal intest dis NOS,Unspecified protozoal intestinal disease
I,00800,Infectious And Parasitic Diseases,Intest infec e coli NOS,"Intestinal infection due to E. coli, unspecified"
I,00801,Infectious And Parasitic Diseases,Int inf e coli entrpath,Intestinal infection due to enteropathogenic E. coli
I,00802,Infectious And Parasitic Diseases,Int inf e coli entrtoxgn,Intestinal infection due to enterotoxigenic E. coli
I,00803,Infectious And Parasitic Diseases,Int inf e coli entrnvsv,Intestinal infection due to enteroinvasive E. coli
I,00804,Infectious And Parasitic Diseases,Int inf e coli entrhmrg,Intestinal infection due to enterohemorrhagic E. coli
I,00809,Infectious And Parasitic Diseases,Int inf e coli spcf NEC,Intestinal infection due to other intestinal E. coli infections
I,0081,Infectious And Parasitic Diseases,Arizona enteritis,Intestinal infection due to arizona group of paracolon bacilli
I,0082,Infectious And Parasitic Diseases,Aerobacter enteritis,Intestinal infection due to aerobacter aerogenes
I,0083,Infectious And Parasitic Diseases,Proteus enteritis,Intestinal infection due to proteus (mirabilis) (morganii)
I,00841,Infectious And Parasitic Diseases,Staphylococc enteritis,Intestinal infection due to staphylococcus
I,00842,Infectious And Parasitic Diseases,Pseudomonas enteritis,Intestinal infection due to pseudomonas
I,00843,Infectious And Parasitic Diseases,Int infec campylobacter,Intestinal infection due to campylobacter
I,00844,Infectious And Parasitic Diseases,Int inf yrsnia entrcltca,Intestinal infection due to yersinia enterocolitica
I,00845,Infectious And Parasitic Diseases,Int inf clstrdium dfcile,Intestinal infection due to Clostridium difficile
I,00846,Infectious And Parasitic Diseases,Intes infec oth anerobes,Intestinal infection due to other anaerobes
I,00847,Infectious And Parasitic Diseases,Int inf oth grm neg bctr,Intestinal infection due to other gram-negative bacteria
I,00849,Infectious And Parasitic Diseases,Bacterial enteritis NEC,Intestinal infection due to other organisms
I,0085,Infectious And Parasitic Diseases,Bacterial enteritis NOS,"Bacterial enteritis, unspecified"
I,00861,Infectious And Parasitic Diseases,Intes infec rotavirus,Enteritis due to rotavirus
I,00862,Infectious And Parasitic Diseases,Intes infec adenovirus,Enteritis due to adenovirus
I,00863,Infectious And Parasitic Diseases,Int inf norwalk virus,Enteritis due to norwalk virus
I,00864,Infectious And Parasitic Diseases,Int inf oth sml rnd vrus,Enteritis due to other small round viruses [SRV's]
I,00865,Infectious And Parasitic Diseases,Enteritis d/t calicivirs,Enteritis due to calicivirus
I,00866,Infectious And Parasitic Diseases,Intes infec astrovirus,Enteritis due to astrovirus
I,00867,Infectious And Parasitic Diseases,Int inf enterovirus NEC,Enteritis due to enterovirus nec
I,00869,Infectious And Parasitic Diseases,Other viral intes infec,Enteritis due to other viral enteritis
I,0088,Infectious And Parasitic Diseases,Viral enteritis NOS,"Intestinal infection due to other organism, not elsewhere classified"
I,0090,Infectious And Parasitic Diseases,Infectious enteritis NOS,"Infectious colitis, enteritis, and gastroenteritis"
I,0091,Infectious And Parasitic Diseases,Enteritis of infect orig,"Colitis, enteritis, and gastroenteritis of presumed infectious origin"
I,0092,Infectious And Parasitic Diseases,Infectious diarrhea NOS,Infectious diarrhea
I,0093,Infectious And Parasitic Diseases,Diarrhea of infect orig,Diarrhea of presumed infectious origin
I,01000,Infectious And Parasitic Diseases,Prim TB complex-unspec,"Primary tuberculous infection, unspecified"
I,01001,Infectious And Parasitic Diseases,Prim TB complex-no exam,"Primary tuberculous infection, bacteriological or histological examination not done"
I,01002,Infectious And Parasitic Diseases,Prim TB complex-exm unkn,"Primary tuberculous infection, bacteriological or histological examination unknown (at present)"
I,01003,Infectious And Parasitic Diseases,Prim TB complex-micro dx,"Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy"
I,01004,Infectious And Parasitic Diseases,Prim TB complex-cult dx,"Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
I,01005,Infectious And Parasitic Diseases,Prim TB complex-histo dx,"Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
I,01006,Infectious And Parasitic Diseases,Prim TB complex-oth test,"Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
I,01010,Infectious And Parasitic Diseases,Prim TB pleurisy-unspec,"Tuberculous pleurisy in primary progressive tuberculosis, unspecified"
I,01011,Infectious And Parasitic Diseases,Prim TB pleurisy-no exam,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done"
I,01012,Infectious And Parasitic Diseases,Prim TB pleur-exam unkn,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)"
I,01013,Infectious And Parasitic Diseases,Prim TB pleuris-micro dx,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy"
I,01014,Infectious And Parasitic Diseases,Prim TB pleurisy-cult dx,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
I,01015,Infectious And Parasitic Diseases,Prim TB pleuris-histo dx,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
I,01016,Infectious And Parasitic Diseases,Prim TB pleuris-oth test,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
I,01080,Infectious And Parasitic Diseases,Prim prog TB NEC-unspec,"Other primary progressive tuberculosis, unspecified"
I,01081,Infectious And Parasitic Diseases,Prim prog TB NEC-no exam,"Other primary progressive tuberculosis, bacteriological or histological examination not done"
I,01082,Infectious And Parasitic Diseases,Prim pr TB NEC-exam unkn,"Other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)"
I,01083,Infectious And Parasitic Diseases,Prim prg TB NEC-micro dx,"Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy"
I,01084,Infectious And Parasitic Diseases,Prim prog TB NEC-cult dx,"Other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
I,01085,Infectious And Parasitic Diseases,Prim prg TB NEC-histo dx,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
I,01086,Infectious And Parasitic Diseases,Prim prg TB NEC-oth test,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
I,01090,Infectious And Parasitic Diseases,Primary TB NOS-unspec,"Primary tuberculous infection, unspecified, unspecified"
I,01091,Infectious And Parasitic Diseases,Primary TB NOS-no exam,"Primary tuberculous infection, unspecified, bacteriological or histological examination not done"
I,01092,Infectious And Parasitic Diseases,Primary TB NOS-exam unkn,"Primary tuberculous infection, unspecified, bacteriological or histological examination unknown (at present)"
I,01093,Infectious And Parasitic Diseases,Primary TB NOS-micro dx,"Primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy"
I,01094,Infectious And Parasitic Diseases,Primary TB NOS-cult dx,"Primary tuberculous infection, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
I,01095,Infectious And Parasitic Diseases,Primary TB NOS-histo dx,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
I,01096,Infectious And Parasitic Diseases,Primary TB NOS-oth test,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
I,01100,Infectious And Parasitic Diseases,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
I,01101,Infectious And Parasitic Diseases,TB lung infiltr-no exam,"Tuberculosis of lung, infiltrative, bacteriological or histological examination not done"
I,01102,Infectious And Parasitic Diseases,TB lung infiltr-exm unkn,"Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)"
I,01103,Infectious And Parasitic Diseases,TB lung infiltr-micro dx,"Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy"
I,01104,Infectious And Parasitic Diseases,TB lung infiltr-cult dx,"Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
I,01105,Infectious And Parasitic Diseases,TB lung infiltr-histo dx,"Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
I,01106,Infectious And Parasitic Diseases,TB lung infiltr-oth test,"Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
I,01110,Infectious And Parasitic Diseases,TB lung nodular-unspec,"Tuberculosis of lung, nodular, unspecified"
I,01111,Infectious And Parasitic Diseases,TB lung nodular-no exam,"Tuberculosis of lung, nodular, bacteriological or histological examination not done"
I,01112,Infectious And Parasitic Diseases,TB lung nodul-exam unkn,"Tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present)"
I,01113,Infectious And Parasitic Diseases,TB lung nodular-micro dx,"Tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy"
I,01114,Infectious And Parasitic Diseases,TB lung nodular-cult dx,"Tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
I,01115,Infectious And Parasitic Diseases,TB lung nodular-histo dx,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
I,01116,Infectious And Parasitic Diseases,TB lung nodular-oth test,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
I,01120,Infectious And Parasitic Diseases,TB lung w cavity-unspec,"Tuberculosis of lung with cavitation, unspecified"
I,01121,Infectious And Parasitic Diseases,TB lung w cavity-no exam,"Tuberculosis of lung with cavitation, bacteriological or histological examination not done"
I,01122,Infectious And Parasitic Diseases,TB lung cavity-exam unkn,"Tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)"
I,01123,Infectious And Parasitic Diseases,TB lung w cavit-micro dx,"Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy"
I,01124,Infectious And Parasitic Diseases,TB lung w cavity-cult dx,"Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
I,01125,Infectious And Parasitic Diseases,TB lung w cavit-histo dx,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
I,01126,Infectious And Parasitic Diseases,TB lung w cavit-oth test,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
I,01130,Infectious And Parasitic Diseases,TB of bronchus-unspec,"Tuberculosis of bronchus, unspecified"
I,01131,Infectious And Parasitic Diseases,TB of bronchus-no exam,"Tuberculosis of bronchus, bacteriological or histological examination not done"
I,01132,Infectious And Parasitic Diseases,TB of bronchus-exam unkn,"Tuberculosis of bronchus, bacteriological or histological examination unknown (at present)"
I,01133,Infectious And Parasitic Diseases,TB of bronchus-micro dx,"Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy"
I,01134,Infectious And Parasitic Diseases,TB of bronchus-cult dx,"Tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture"
I,01135,Infectious And Parasitic Diseases,TB of bronchus-histo dx,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
I,01136,Infectious And Parasitic Diseases,TB of bronchus-oth test,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
I,01140,Infectious And Parasitic Diseases,TB lung fibrosis-unspec,"Tuberculous fibrosis of lung, unspecified"
I,01141,Infectious And Parasitic Diseases,TB lung fibrosis-no exam,"Tuberculous fibrosis of lung, bacteriological or histological examination not done"
I,01142,Infectious And Parasitic Diseases,TB lung fibros-exam unkn,"Tuberculous fibrosis of lung, bacteriological or histological examination unknown (at present)"
I,01143,Infectious And Parasitic Diseases,TB lung fibros-micro dx,"Tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy"
I,01144,Infectious And Parasitic Diseases,TB lung fibrosis-cult dx,"Tuberculous fibrosis of lung, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
I,01145,Infectious And Parasitic Diseases,TB lung fibros-histo dx,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
I,01146,Infectious And Parasitic Diseases,TB lung fibros-oth test,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
I,01150,Infectious And Parasitic Diseases,TB bronchiectasis-unspec,"Tuberculous bronchiectasis, unspecified"
I,01151,Infectious And Parasitic Diseases,TB bronchiect-no exam,"Tuberculous bronchiectasis, bacteriological or histological examination not done"
I,01152,Infectious And Parasitic Diseases,TB bronchiect-exam unkn,"Tuberculous bronchiectasis, bacteriological or histological examination unknown (at present)"
I,01153,Infectious And Parasitic Diseases,TB bronchiect-micro dx,"Tuberculous bronchiectasis, tubercle bacilli found (in sputum) by microscopy"
I,01154,Infectious And Parasitic Diseases,TB bronchiect-cult dx,"Tuberculous bronchiectasis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
I,01155,Infectious And Parasitic Diseases,TB bronchiect-histo dx,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
I,01156,Infectious And Parasitic Diseases,TB bronchiect-oth test,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
I,01160,Infectious And Parasitic Diseases,TB pneumonia-unspec,"Tuberculous pneumonia [any form], unspecified"
I,01161,Infectious And Parasitic Diseases,TB pneumonia-no exam,"Tuberculous pneumonia [any form], bacteriological or histological examination not done"
I,01162,Infectious And Parasitic Diseases,TB pneumonia-exam unkn,"Tuberculous pneumonia [any form], bacteriological or histological examination unknown (at present)"
I,01163,Infectious And Parasitic Diseases,TB pneumonia-micro dx,"Tuberculous pneumonia [any form], tubercle bacilli found (in sputum) by microscopy"
I,01164,Infectious And Parasitic Diseases,TB pneumonia-cult dx,"Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
I,01165,Infectious And Parasitic Diseases,TB pneumonia-histo dx,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
I,01166,Infectious And Parasitic Diseases,TB pneumonia-oth test,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
I,01170,Infectious And Parasitic Diseases,TB pneumothorax-unspec,"Tuberculous pneumothorax, unspecified"
I,01171,Infectious And Parasitic Diseases,TB pneumothorax-no exam,"Tuberculous pneumothorax, bacteriological or histological examination not done"
I,01172,Infectious And Parasitic Diseases,TB pneumothorx-exam unkn,"Tuberculous pneumothorax, bacteriological or histological examination unknown (at present)"
I,01173,Infectious And Parasitic Diseases,TB pneumothorax-micro dx,"Tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy"
I,01174,Infectious And Parasitic Diseases,TB pneumothorax-cult dx,"Tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
I,01175,Infectious And Parasitic Diseases,TB pneumothorax-histo dx,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
I,01176,Infectious And Parasitic Diseases,TB pneumothorax-oth test,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
I,01180,Infectious And Parasitic Diseases,Pulmonary TB NEC-unspec,"Other specified pulmonary tuberculosis, unspecified"
I,01181,Infectious And Parasitic Diseases,Pulmonary TB NEC-no exam,"Other specified pulmonary tuberculosis, bacteriological or histological examination not done"
I,01182,Infectious And Parasitic Diseases,Pulmon TB NEC-exam unkn,"Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)"
I,01183,Infectious And Parasitic Diseases,Pulmon TB NEC-micro dx,"Other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy"
I,01184,Infectious And Parasitic Diseases,Pulmon TB NEC-cult dx,"Other specified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
I,01185,Infectious And Parasitic Diseases,Pulmon TB NEC-histo dx,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
I,01186,Infectious And Parasitic Diseases,Pulmon TB NEC-oth test,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
I,01190,Infectious And Parasitic Diseases,Pulmonary TB NOS-unspec,"Pulmonary tuberculosis, unspecified, unspecified"
I,01191,Infectious And Parasitic Diseases,Pulmonary TB NOS-no exam,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done"
I,01192,Infectious And Parasitic Diseases,Pulmon TB NOS-exam unkn,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)"
I,01193,Infectious And Parasitic Diseases,Pulmon TB NOS-micro dx,"Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy"
I,01194,Infectious And Parasitic Diseases,Pulmon TB NOS-cult dx,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
I,01195,Infectious And Parasitic Diseases,Pulmon TB NOS-histo dx,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
I,01196,Infectious And Parasitic Diseases,Pulmon TB NOS-oth test,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
I,01200,Infectious And Parasitic Diseases,TB pleurisy-unspec,"Tuberculous pleurisy, unspecified"
I,01201,Infectious And Parasitic Diseases,TB pleurisy-no exam,"Tuberculous pleurisy, bacteriological or histological examination not done"
I,01202,Infectious And Parasitic Diseases,TB pleurisy-exam unkn,"Tuberculous pleurisy, bacteriological or histological examination unknown (at present)"
I,01203,Infectious And Parasitic Diseases,TB pleurisy-micro dx,"Tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy"
I,01204,Infectious And Parasitic Diseases,TB pleurisy-cult dx,"Tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
I,01205,Infectious And Parasitic Diseases,TB pleurisy-histolog dx,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
I,01206,Infectious And Parasitic Diseases,TB pleurisy-oth test,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
I,01210,Infectious And Parasitic Diseases,TB thoracic nodes-unspec,"Tuberculosis of intrathoracic lymph nodes, unspecified"
I,01211,Infectious And Parasitic Diseases,TB thorax node-no exam,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination not done"
I,01212,Infectious And Parasitic Diseases,TB thorax node-exam unkn,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination unknown (at present)"
I,01213,Infectious And Parasitic Diseases,TB thorax node-micro dx,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli found (in sputum) by microscopy"
I,01214,Infectious And Parasitic Diseases,TB thorax node-cult dx,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
I,01215,Infectious And Parasitic Diseases,TB thorax node-histo dx,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
I,01216,Infectious And Parasitic Diseases,TB thorax node-oth test,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
I,01220,Infectious And Parasitic Diseases,Isol tracheal tb-unspec,"Isolated tracheal or bronchial tuberculosis, unspecified"
I,01221,Infectious And Parasitic Diseases,Isol tracheal tb-no exam,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination not done"
I,01222,Infectious And Parasitic Diseases,Isol trach tb-exam unkn,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination unknown (at present)"
I,01223,Infectious And Parasitic Diseases,Isolat trach tb-micro dx,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy"
I,01224,Infectious And Parasitic Diseases,Isol tracheal tb-cult dx,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
I,01225,Infectious And Parasitic Diseases,Isolat trach tb-histo dx,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
I,01226,Infectious And Parasitic Diseases,Isolat trach tb-oth test,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
I,01230,Infectious And Parasitic Diseases,TB laryngitis-unspec,"Tuberculous laryngitis, unspecified"
I,01231,Infectious And Parasitic Diseases,TB laryngitis-no exam,"Tuberculous laryngitis, bacteriological or histological examination not done"
I,01232,Infectious And Parasitic Diseases,TB laryngitis-exam unkn,"Tuberculous laryngitis, bacteriological or histological examination unknown (at present)"
I,01233,Infectious And Parasitic Diseases,TB laryngitis-micro dx,"Tuberculous laryngitis, tubercle bacilli found (in sputum) by microscopy"
I,01234,Infectious And Parasitic Diseases,TB laryngitis-cult dx,"Tuberculous laryngitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
I,01235,Infectious And Parasitic Diseases,TB laryngitis-histo dx,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
I,01236,Infectious And Parasitic Diseases,TB laryngitis-oth test,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
I,01280,Infectious And Parasitic Diseases,Resp TB NEC-unspec,"Other specified respiratory tuberculosis, unspecified"
I,01281,Infectious And Parasitic Diseases,Resp TB NEC-no exam,"Other specified respiratory tuberculosis, bacteriological or histological examination not done"
I,01282,Infectious And Parasitic Diseases,Resp TB NEC-exam unkn,"Other specified respiratory tuberculosis, bacteriological or histological examination unknown (at present)"
I,01283,Infectious And Parasitic Diseases,Resp TB NEC-micro dx,"Other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy"
I,01284,Infectious And Parasitic Diseases,Resp TB NEC-cult dx,"Other specified respiratory tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
I,01285,Infectious And Parasitic Diseases,Resp TB NEC-histo dx,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
I,01286,Infectious And Parasitic Diseases,Resp TB NEC-oth test,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
I,01300,Infectious And Parasitic Diseases,TB meningitis-unspec,"Tuberculous meningitis, unspecified"
I,01301,Infectious And Parasitic Diseases,TB meningitis-no exam,"Tuberculous meningitis, bacteriological or histological examination not done"
